REF,PTT,D_DATE,LQ,LAT,LON,ALT_LAT,ALT_LON,N_MESS,N_MESS_120,BEST_LEVEL,PASS_DUR,FREQ,V_MASK,ALT,EST_SPEED,KM_FROM_HOME,IQ,NOPS,DELETED,ACTUAL_PTT,ERROR_RADIUS,SEMI_MAJOR_AXIS,SEMI_MINOR_AXIS,ELLIPSE_ORIENTATION,HDOP,SATELLITE,DIAG_ID
ct151-F415-18,133778,6/4/2019,-1,37.12522,-122.34443,25.98395,-175.38026,3,0,-137,420,401677464.4,0,,1.57,1.573,50,3,,133778,372,1109,124,95,517,NP,115080980
ct151-F415-18,133778,6/4/2019,-1,37.12833,-122.34361,37.12833,-122.34361,3,0,-129,679,401677469.2,0,,0.92,1.772,6,3,,133778,3097,4976,1927,93,901,NK,115080981
ct151-F415-18,133778,6/4/2019,-1,37.12245,-122.34815,37.12245,-122.34815,3,0,-123,208,401677459.5,0,,0.55,1.684,8,2,,133778,5799,22458,1497,116,1699,MC,115080982
ct151-F415-18,133778,6/4/2019,2,37.11565,-122.34052,37.11565,-122.34052,7,0,-124,614,401677465.2,0,,0.5,0.846,56,3,,133778,269,597,121,56,346,SR,114772574
ct151-F415-18,133778,6/4/2019,-1,37.12057,-122.33537,37.12057,-122.33537,3,0,-127,183,401677480.4,0,,0.08,0.64,7,3,,133778,2174,15660,301,93,2399,MC,114775656
ct151-F415-18,133778,6/4/2019,-1,37.1217,-122.33113,37.1217,-122.33113,3,0,-123,302,401677514.8,0,,-1,0.634,0,3,,133778,593,3619,97,140,923,MA,114829649
ct151-F415-18,133778,6/4/2019,-1,37.1217,-122.33113,37.1217,-122.33113,3,0,-123,302,401677514.8,0,,-1,0.634,0,3,,133778,593,3619,97,140,923,MA,114829649
ct151-F415-18,133778,6/4/2019,1,37.12211,-122.33848,37.12211,-122.33848,4,0,-135,231,401677515.3,0,,-1,0.951,56,3,,133778,928,1841,467,1,827,NN,114829650
ct151-F415-18,133778,6/4/2019,1,37.12211,-122.33848,37.12211,-122.33848,4,0,-135,231,401677515.3,0,,-1,0.951,56,3,,133778,928,1841,467,1,827,NN,114829650
ct151-F415-18,133778,6/4/2019,3,37.11664,-122.32648,37.11664,-122.32648,7,2,-118,362,401677514,0,,-1,0.408,56,3,,133778,176,332,93,45,400,MC,114829651
ct151-F415-18,133778,6/4/2019,3,37.11664,-122.32648,37.11664,-122.32648,7,2,-118,362,401677514,0,,-1,0.408,56,3,,133778,176,332,93,45,400,MC,114829651
ct151-F415-18,133778,6/5/2019,2,37.12077,-122.34799,37.12077,-122.34799,14,0,-125,588,401677476.1,0,,0.04,1.599,58,3,,133778,272,476,155,109,132,SR,114886679
ct151-F415-18,133778,6/5/2019,1,37.12467,-122.34578,37.12467,-122.34578,5,0,-129,185,401677481.5,0,,0.02,1.628,68,3,,133778,852,10917,66,110,2387,NP,114918231
ct151-F415-18,133778,6/6/2019,2,37.11605,-122.33476,37.11605,-122.33476,4,0,-133,287,401677486.7,0,,0.02,0.335,50,3,,133778,318,1901,53,75,634,NN,115009339
ct151-F415-18,133778,6/7/2019,1,37.11337,-122.30269,37.11337,-122.30269,4,0,-133,137,401677479.6,0,,1.64,2.53,50,2,,133778,1482,16047,136,80,4179,SR,115155129
ct151-F415-18,133778,6/7/2019,3,37.1178,-122.34308,37.1178,-122.34308,13,3,-116,657,401677488.2,0,,1.63,1.09,56,3,,133778,157,569,43,97,196,NK,115155130
ct151-F415-18,133778,6/8/2019,2,37.11692,-122.34043,37.11692,-122.34043,7,0,-122,622,401677475.8,0,,1.28,0.844,58,3,,133778,387,556,269,91,207,SR,115412277
ct151-F415-18,133778,6/8/2019,1,37.12511,-122.34404,37.12511,-122.34404,5,0,-126,535,401677472.4,0,,1.85,1.539,46,3,,133778,862,1587,468,179,392,NP,115412278
ct151-F415-18,133778,6/8/2019,-2,37.30599,-122.57932,37.30599,-122.57932,2,0,-124,43,401677518.1,20,,,,8,3,,133778,11067,74894,1635,60,6611,SR,115412279
