deployment_code,pi_code,process,public,country,task_done,first_version,last_version,start_date,end_date,start_date_jul
wd04,HINDELL,1,1,AUSTRALIA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,03/26/2011,10/08/2011,734588
awru1,HINDELL,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/12/2007,10/03/2007,733085
ct149,HINDELL,1,1,AUSTRALIA,0,,,12/20/2018,NaT,737414
ct2,HINDELL,1,1,AUSTRALIA,8,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/20/2004,08/01/2004,731966
ct36,HINDELL,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,12/26/2008,03/01/2009,733768
ct38w,HINDELL,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/21/2008,01/01/2009,733459
ct47,HINDELL,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/08/2009,08/01/2009,733812
ct6,HINDELL,1,1,AUSTRALIA,4,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/01/2005,11/29/2005,732313
ct75,HINDELL,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/02/2011,01/01/2013,734778
ft24,HINDELL,1,1,AUSTRALIA,0,,,12/20/2018,NaT,737414
wd1,HINDELL,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/14/2006,11/01/2006,732722
wd3,HINDELL,1,1,AUSTRALIA,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,02/20/2007,06/01/2007,733093
ct119,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/16/2016,NaT,736345
ct122,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/01/2016,12/01/2016,736330
ct128,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,11/15/2017,NaT,737014
ct128a,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2018-04-10,MEOP-CTD_2018-04-10,03/02/2017,08/01/2017,736756
ct134,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/15/2017,02/01/2017,736741
ct135,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/10/2017,06/01/2017,736705
ct140,IMOS,1,1,AUSTRALIA,0,,,11/20/2017,NaT,737019
ct144,IMOS,1,1,AUSTRALIA,0,,,10/10/2018,NaT,737343
ct148,IMOS,1,1,AUSTRALIA,0,,,12/20/2018,NaT,737414
ct150,IMOS,1,1,AUSTRALIA,0,,,11/20/2018,NaT,737384
kp01,IMOS,1,0,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,03/15/2017,05/15/2017,736769
ct100,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/21/2013,11/30/2014,735286
ct101,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,05/22/2013,08/01/2014,735376
ct108,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,07/15/2014,12/31/2014,735795
ct109,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,12/06/2014,02/03/2016,735939
ct110,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,07/31/2014,04/01/2015,735811
ct111,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/20/2014,NaT,735892
ct116,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/10/2016,07/01/2016,736339
ct64,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/01/2010,12/01/2010,734139
ct77,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/01/2012,11/01/2012,734869
ct78,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/01/2012,11/01/2012,734869
ct78d,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/22/2011,03/01/2012,734556
ct79,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/25/2012,12/01/2012,734893
ct85,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/27/2014,12/04/2014,735626
ct91,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,06/11/2012,01/01/2013,735031
ct96,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/05/2013,02/01/2014,735270
ct98,IMOS,1,1,AUSTRALIA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,12/25/2013,12/31/2014,735593
ct123,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,12/05/2015,NaT,736303
ct136,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/20/2017,NaT,736746
ct142,SARDI,1,1,AUSTRALIA,0,,,12/04/2017,NaT,737033
ct106,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,11/22/2013,02/03/2016,735560
ct115,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,12/08/2014,06/01/2015,735941
ct31,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,04/01/2007,07/01/2007,733133
ct61,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,12/09/2009,06/14/2010,734116
ct76,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/06/2011,06/01/2011,734540
ct86,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,12/01/2011,03/01/2012,734838
ft13,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,04/03/2013,05/28/2013,735327
ft19,SARDI,1,1,AUSTRALIA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,12/08/2014,06/01/2015,735941
ct124,MUELBERT,1,0,BRAZIL,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,12/01/2015,NaT,736299
ct22,MUELBERT,1,1,BRAZIL,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,11/01/2008,04/01/2012,733713
