deployment_code,T1,T2,S1,S2,remove,Sremove,comment
BM01-544-12,0,0,0,0,0,0,
BM02-01-17,0,0,0,0,0,0,
BM02-02-17,0,0,0,0,0,0,
BM02-03-17,0,0,0,0,0,0,
BM02-04-17,0,0,0,0,0,0,
BM02-05-17,0,0,0,0,0,0,
BM02-06-17,0,0,0,0,0,0,
BM03-853-18,0,0,0,0,0,0,
BM03-855-18,0,0,0,0,0,0,
BM03-856-18,0,0,0,0,0,0,
BM03-857-18,0,0,0,0,0,0,
DL02-C400-16,0,0,0,0,0,0,
DL02-C401-16,0,0,0,0,0,0,
MY01-449-17,0,0,0,0,0,0,
MY01-512-17,0,0,0,0,0,0,
MY01-513-17,0,0,0,0,0,0,
MY01-514-17,0,0,0,0,0,0,
MY01-515-17,0,0,0,0,0,0,
awru1-A-06,0,0.05,0,0,0,0,
awru1-B-06,0,0.25,0,0,0,0,
awru1-C-06,0,0.04,0,0,0,0,
bs1-53127-04,0,0,0,0,0,0,
bs1-53128-04,0,0,0,0,0,0,
bs1-53129-04,0,0,0,0,0,0,
bs1-53130-04,0,0,0,0,0,0,
bs2-53127-05,0,0,0,0,0,0,
bs2-53128-05,0,0,0,0,0,0,
bs2-53130-05,0,0,0,0,0,0,
bv3-240-14,0,0,0,0,0,0,
bv3-241-14,0,0,0,0,0,0,
bv3-242-14,0,0,0.03,0,0,0,
bv3-243-14,0,0,0,0,0,0,
bv3-245-14,0,0,0,0,0,0,
bv3-246-14,0,0,0,0,0,0,
bv3-247-14,0,0,0,0,0,0,
bv3-248-14,0,0,0,0,0,0,
ct1-Blitzen-04,0,0,0,-1.2,0,0,
ct1-Comet-04,0,0,0,0.3,0,0,
ct1-Dancer-04,0,0,0,0.1,0,0,
ct1-Dasher-04,0,0,0,0.5,0,0,
ct1-Donner-04,0,0,0,0.3,0,0,
ct1-Vixen-04,0,0,0,0.45,0,0,
ct10-22925-05,0,0,0,-0.8,0,0,
ct10-23104-05,0,0,0,0.31,0,1,
ct10-24176-05,0,0,0,0.5,0,0,
ct10-24178-05,0,0,0,0.33,0,0,
ct10-25966-05,0,0,0,0.3,1,0,
ct10-26341-05,0,0,0,0.35,0,0,
ct10-28592-05,0,0,0,0.3,0,0,
ct100-251-13,0,0,0,0.05,0,0,
ct100-263-13,0,0,0,0.17,0,0,
ct100-264-13,0,0,0,0.3,0,0,
ct100-298-13,0,0,0,0.15,0,0,
ct100-301-13,0,0,0.05,0.05,0,0,
ct101-303-12,0,0,0,0,0,0,
ct101-330-12,0,0,0,0,0,0,
ct101-416-12,0,0,0,0,0,0,
ct101-701-13,0,0,0,0,0,0,
ct101-703-13,0,0,0,0,0,0,
ct101-704-13,0,0,0,0,0,0,
ct101-706-13,0,0,0,0,0,0,
ct101-790-13,0,0,0,0,0,0,
ct101-791-13,0,0,0,0,0,0,
ct101-792-13,0,0,0,0,0,0,
ct101-793-13,0,0,0,0,0,0,
ct101-794-13,0,0,0,0,0,0,
ct101-795-13,0,0,0,0,0,0,
ct102-10432-13,0,0,0,0,1,0,
ct102-12190-12,0,0,0.05,0,0,0,
ct102-12782-13,0,0,0.06,0.02,0,0,
ct102-12787-13,0,0,-0.03,0.08,0,0,
ct102-12797-13,0,0,0,0.45,0,1,
ct102-12798-13,0,0,0.05,0.08,0,0,
ct102-12799-13,0,0,0,0.08,0,0,
ct102-OO052-11,0,0,0,-0.05,0,0,
ct103-03-12,0,0,0,0,0,0,
ct104-EF838-13,-0.01,0.02,0,0.1,0,0,
ct104-EF960-13,0.06,-0.01,0,0.08,0,0,
ct104-EF970-13,0.18,0.01,0,-0.1,0,0,
ct104-EM889-13,-0.07,0.04,0,0.1,0,0,
ct104-EM959-13,-0.01,0.01,0,0.07,0,0,
ct104-EM961-13,0.05,-0.02,0,0.1,0,0,
ct104-EM971-13,-0.03,0.02,0,0.08,0,0,
ct104-WF858-13,0.05,0,0,0.1,0,0,
ct104-WF893-13,-0.01,0.01,0,0.07,0,0,
ct104-WF895-13,-0.01,0.01,0,0.1,0,0,
ct104-WF896-13,0.02,0.01,0,0.1,0,0,
ct104-WF963-13,-0.02,0.02,0,0.1,0,0,
ct104-WM890-13,0,0,0,0.1,0,0,
ct104-WM972-13,0.18,-0.01,0,0,0,0,
ct105-12-13,0,0,0,0,1,0,
ct105-14f-13,0,0,0,0.06,0,0,
ct105-15f-13,0,0,0,0.06,0,0,
ct106-175-12,0,0,0,0,0,0,
ct106-399_2-11,0,0,0,0,0,0,
ct106-614-12,0,0,0,0,0,0,
ct106-628_rebat-14,0,0,0,0,0,0,
ct106-629_2-12,0,0,0,0,0,0,
ct106-633_rebat-14,0,0,0,0,0,0,
ct106-705-13,0,0,0,0,0,0,
ct106-796-13,0,0,0,0,0,0,
ct107-933-13,0,0,0,-0.03,0,0,
ct107-933b-13,0,0,0,0,0,0,
ct107-934-13,0,0,0,0.06,0,0,
ct107-938-13,0,0,0,-0.02,0,0,
ct107-940-13,0,0,0,0.09,0,0,
ct107-941-13,0,0,0,0.03,0,0,
ct107-947-13,0,0,0,-0.01,0,0,
ct107-950-13,0,0,0,0.03,0,0,
ct107-951-13,0,0,0,0.06,0,0,
ct107-952-13,0,0,0,0.07,0,0,
ct107-953-13,0,0,0,0.04,0,0,
ct107-F945-13,0,0,0,0,0,0,
ct107-F946-13,0,0,0,-0.02,0,0,
ct107-F954-14,0,0,0,-0.01,0,0,
ct107-F995-14,0,0,0,0.03,0,0,
ct108-297-13,0,0,0,-0.09,0,0,
ct108-300-13,0,0,0,0.07,0,0,
ct108-554-13,0,0,0,0.3,0,0,
ct108-555-13,0,0,0,0,0,0,
ct108-564-13,0,0,0,0.08,0,0,
ct108-569-13,0,0,0,0,0,1,
ct108-622-13,0,0,0,0,0,0,
ct108-632-13,0,0,0,0,0,0,
ct108-663-13,0,0,0,0.14,0,0,
ct109-031-14,0,0,0,0.15,0,0,
ct109-032-14,0,0,0,0.15,0,0,
ct109-085-14,0,0,-0.03,0,0,0,
ct109-184-14,0,0,0,0.02,0,0,
ct109-186-14,0,0,0,0.04,0,0,
ct109-187-14,0,0,0,-0.06,0,0,
ct109-188-14,0,0,0,0.03,0,0,
ct109-190-14,0,0,-0.03,-0.01,0,0,
ct109-191-14,0,0,-0.1,0.1,0,0,
ct109-937-14,0,0,-0.02,0,0,0,
ct109-939-14,0,0,0,0,0,0,
ct109-942-14,0,0,0,0,0,0,
ct109-944-14,0,0,0,0.03,0,0,
ct109-949-14,0,0,0.02,0.02,0,0,
ct109-956-14,0,0,0,0.03,0,0,
ct109-958-14,0,0,0,0.03,0,0,
ct109-964-14,0,0,0,0,0,0,
ct109-965-14,0,0,0,0.15,0,0,
ct109-966-14,0,0,0.05,0.1,0,0,
ct109-967-14,0,0,0,0,0,0,
ct109-968-14,0,0,0,0.2,0,0,
ct109-969-14,0,0,0,0,1,0,
ct109-973-14,0,0,0,0.1,0,0,
ct11-10064-05,0,0,0,-0.05,0,0,
ct11-10096-05,0,0,0,0,0,1,
ct11-10097-05,0,0,0,0,0,1,
ct110-027-14,0,0,0,0,0,0,
ct110-028-14,0,0,0,0,0,0,
ct110-029-14,0,0,0,0,0,0,
ct110-086-14,0,0,0,0,0,0,
ct110-087-14,0,0,0,0,0,0,
ct110-088-14,0,0,0,0,0,0,
ct110-089-14,0,0,0,0,0,0,
ct110-090-14,0,0,0,0,0,0,
ct110-255-12,0,0,0,0,0,0,
ct110-256-12,0,0,0,0,0,0,
ct111-030-13,0,0,0,0,0,0,
ct111-617-13,0,-0.04,0,0.05,0,0,
ct111-665-13,0,0,0,0.1,0,0,
ct111-701-14,0,0,0,0,0,0,
ct111-835-10,0,0,0,0,1,0,
ct112-033-14,0,0,0,-0.02,0,0,
ct112-034-14,0,0,0,0.03,0,0,
ct112-035-14,0,0,0,-0.2,0,0,
ct112-047-14,0,0,0,-0.1,0,0,
ct112-048-14,0,0,0,0.02,0,0,
ct112-049-14,0,0,0,-0.03,0,0,
ct112-050-14,0,0,0,0.04,0,0,
ct112-051-14,0,0,0,-0.17,0,0,
ct113-10515-10,0,0,0,0,0,0,
ct113-12787-13,0,0,0,0,0,0,
ct113-12823-13,0,0,0,0,0,0,
ct114-02-14,0,0,0,0,0,0,
ct114-03-14,0,0,0,0.07,0,0,
ct114-04-14,0,0,0,0.07,0,0,
ct114-05-14,0,0,0,0.05,0,0,
ct114-06-14,0,0,0,0,0,1,
ct114-07-14,0,0,0,0.17,0,0,
ct114-08-14,0,0,0,0.06,0,0,
ct114-09-14,0,0,0,0,0,0,
ct114-10-14,0,0,0,0,0,0,
ct114-11-14,0,0,0,0.02,0,0,
ct114-12-14,0,0,0,0.1,0,0,
ct114-13-14,0,0,0,0.09,0,0,
ct114-14-14,0,0,0,0,0,0,
ct114-15-14,0,0,0,0,0,0,
ct114-16-14,0,0,0,0.1,0,0,
ct115-892-14,0,0,0,0,0,0,
ct116-13-15,0,0,0,0.1,0,0,
ct116-308-14,0,0,0,0.15,0,0,
ct117-265-15,0,0,0,0.1,0,0,
ct117-266-15,0,0,0,0.05,0,0,
ct118-301-11,0,0,0,0,0,1,
ct118-319-11,0,0,0,-0.1,0,0,
ct118-331-11,0,0,0,0,0,0,
ct118-493-11,0,-0.2,0,0.1,0,0,
ct118-894-13,0,0,0,0,0,0,
ct118-929-13,0,0,0,0,0,0,
ct119-275-14,0,0,0,0.1,0,0,
ct119-279-14,0,0.03,0,0.05,0,0,
ct119-294-14,0,0,0,0.05,0,0,
ct119-300-14,0,0,0,0.05,0,0,
ct12-054-05,0,0,0,-0.01,0,0,
ct12-098-05,0,0,0,-0.68,0,0,
ct12-102-05,0,0,0,0,0,1,
